Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
8750,"Dai-ichi Life Holdings,Inc.",1512,JPY,2.75288092189501,34.25,JPY,Finance
3382,"Seven & I Holdings Co., Ltd.",2231,JPY,2.05385668644455,40,JPY,Retail trade
4578,"Otsuka Holdings Co., Ltd.",10425,JPY,1.31826741996234,140,JPY,Health technology
8630,"Sompo Holdings,Inc.",5904,JPY,2.55758807588076,132,JPY,Finance
4568,"Daiichi Sankyo Company, Limited",2978,JPY,2.36422819941751,60,JPY,Health technology
6701,NEC Corporation,3673,JPY,0.76608784473953,28,JPY,Technology services
6723,Renesas Electronics Corporation,2839,JPY,0.962861072902338,28,JPY,Electronic technology
7013,IHI Corporation,4133,JPY,0.456204151459854,17.14284,JPY,Producer manufacturing
8830,"Sumitomo Realty & Development Co., Ltd.",5075,JPY,0.763283108643933,35,JPY,Finance
5108,Bridgestone Corporation,3666,JPY,3.1767955801105,115,JPY,Consumer durables
6273,SMC Corporation,76000,JPY,1.37211855104281,1000,JPY,Producer manufacturing
8308,"Resona Holdings, Inc.",1926.5,JPY,1.41378439787932,25,JPY,Finance
9022,Central Japan Railway Company,4630,JPY,0.692191217823924,31,JPY,Transportation
7751,Canon Inc.,4657,JPY,3.41515474919957,160,JPY,Electronic technology
6762,TDK Corporation,2370,JPY,1.34453781512605,30,JPY,Electronic technology
7269,Suzuki Motor Corp.,2252.5,JPY,1.87445510026155,41,JPY,Consumer durables
2802,"Ajinomoto Co., Inc.",4697,JPY,0.956106040851804,40,JPY,Consumer non-durables
4503,Astellas Pharma Inc.,2508.5,JPY,3.06884716333535,74,JPY,Health technology
4661,"Oriental Land Co., Ltd.",2709.5,JPY,0.516509869027855,14,JPY,Consumer services
1605,Inpex Corporation,3708,JPY,2.7196083763938,100,JPY,Energy minerals
9020,East Japan Railway Company,3828,JPY,1.80912427897221,60,JPY,Transportation
8604,"Nomura Holdings, Inc.",1384,JPY,4.34318262726949,57,JPY,Finance
5020,"ENEOS Holdings, Inc.",1455,JPY,2.06043956043956,26,JPY,Energy minerals
8309,"Sumitomo Mitsui Trust Group, Inc.",5403,JPY,2.96316557257476,155,JPY,Finance
6971,Kyocera Corporation,2710,JPY,1.88217579521927,50,JPY,Distribution services
4901,FUJIFILM Holdings Corp,2988.5,JPY,2.33333333333333,65,JPY,Health technology
5401,NIPPON STEEL CORP.,663.9,JPY,4.15491912746698,32,JPY,Non-energy minerals
1925,"Daiwa House Industry Co., Ltd.",5562,JPY,2.8105167724388,150,JPY,Consumer durables
6326,Kubota Corporation,3132,JPY,1.64149704530532,50,JPY,Producer manufacturing
1812,Kajima Corporation,6964,JPY,1.62314749470713,104,JPY,Industrial services
7936,Asics Corporation,4798,JPY,0.582120582120582,28,JPY,Consumer non-durables
4507,"Shionogi & Co., Ltd.",3630,JPY,1.81069958847737,61.333333,JPY,Health technology
7532,Pan Pacific International Holdings Corporation,1023.5,JPY,0.81592039800995,7,JPY,Retail trade
5016,JX Advanced Metals Corporation,3692,JPY,0.708173502508115,18,JPY,Non-energy minerals
1801,Taisei Corporation,19055,JPY,1.4365522745411,210,JPY,Industrial services
7012,Kawasaki Heavy Industries Ltd.,17195,JPY,0.865196762489534,150,JPY,Consumer durables
4452,Kao Corporation,6636,JPY,2.36051502145923,154,JPY,Consumer non-durables
4543,Terumo Corporation,1969.5,JPY,1.42711518858308,26,JPY,Health technology
9503,"Kansai Electric Power Company, Incorporated",2751,JPY,2.23713646532438,60,JPY,Utilities
1802,Obayashi Corporation,4181,JPY,1.97447628220563,81,JPY,Consumer durables
9531,"TOKYO GAS Co., Ltd.",7625,JPY,1.25412541254125,80,JPY,Utilities
6920,Lasertec Corp.,31920,JPY,1.12924281984334,329,JPY,Electronic technology
5713,"Sumitomo Metal Mining Co., Ltd.",10810,JPY,1.1988011988012,104,JPY,Non-energy minerals
4612,"Nippon Paint Holdings Co., Ltd.",1158,JPY,1.38169257340242,16,JPY,Process industries
9735,"Secom Co., Ltd.",5946,JPY,1.67084377610693,97.5,JPY,Commercial services
6594,Nidec Corporation,2350,JPY,0.869565217391304,40,JPY,Producer manufacturing
7832,Bandai Namco Holdings Inc.,4015,JPY,2.05955334987593,71,JPY,Consumer durables
6361,Ebara Corporation,5680,JPY,1.04647037956722,59,JPY,Producer manufacturing
3659,"NEXON Co., Ltd.",3117,JPY,1.39925373134328,45,JPY,Technology services
2502,Asahi Group Holdings Ltd,1703,JPY,3.04360550190225,48.999978,JPY,Consumer non-durables
4062,"IBIDEN CO., LTD.",9884,JPY,0.273015179643988,20,JPY,Electronic technology
9766,KONAMI Group Corporation,18435,JPY,0.971002926310189,165.5,JPY,Technology services
9532,"Osaka Gas Co., Ltd.",6467,JPY,1.68284283030683,95,JPY,Utilities
4689,LY Corporation,365.6,JPY,1.87015762757147,7,JPY,Technology services
4091,Nippon Sanso Holdings Corporation,5811,JPY,0.962530079064971,51,JPY,Process industries
1928,"Sekisui House, Ltd.",3769,JPY,3.83693045563549,135,JPY,Finance
6383,"Daifuku Co., Ltd.",6257,JPY,1.23320158102767,78,JPY,Producer manufacturing
3407,Asahi Kasei Corporation,1833,JPY,2.29885057471264,38,JPY,Process industries
6988,Nitto Denko Corp.,3596,JPY,1.60044150110375,56,JPY,Electronic technology
1803,Shimizu Corporation,3490,JPY,1.23117033603708,38,JPY,Industrial services
9101,Nippon Yusen Kabushiki Kaisha,5253,JPY,5.94439117929051,325,JPY,Transportation
8473,SBI Holdings Incorporated,3190,JPY,2.68256333830104,85,JPY,Finance
4307,"Nomura Research Institute,Ltd.",3561,JPY,1.8001565353509,63,JPY,Technology services
7270,Subaru Corporation,2916.5,JPY,4.10460112545515,115,JPY,Consumer durables
8593,Mitsubishi HC Capital Inc.,1495.5,JPY,2.79348187562355,40,JPY,Finance
8601,Daiwa Securities Group Inc.,1588.5,JPY,3.57927786499215,56,JPY,Finance
2503,Kirin Holdings Co. Ltd.,2651,JPY,2.80462383930263,74,JPY,Consumer non-durables
8795,"T&D Holdings, Inc.",3987,JPY,2.54237288135593,80,JPY,Finance
4004,Resonac Holdings Corporation,11900,JPY,0.579322638146168,65,JPY,Process industries
7259,Aisin Corporation,2681,JPY,2.23713646532438,60,JPY,Producer manufacturing
7735,"SCREEN Holdings Co., Ltd",21725,JPY,1.41492265696087,308,JPY,Producer manufacturing
7453,"Ryohin Keikaku Co., Ltd.",3532,JPY,0.69060773480663,25,JPY,Consumer non-durables
9104,"Mitsui O.S.K.Lines,Ltd.",5505,JPY,4.87042823010476,360,JPY,Transportation
8113,Unicharm Corporation,1094.5,JPY,1.69014084507042,18,JPY,Consumer non-durables
9502,"Chubu Electric Power Company,Incorporated",2600,JPY,2.5257431513503,60,JPY,Utilities
7186,"Yokohama Financial Group, Inc.",1665,JPY,1.94289078598764,29,JPY,Finance
8697,"Japan Exchange Group, Inc.",1952.5,JPY,2.87693127330847,45.5,JPY,Finance
4684,"OBIC Co., Ltd.",3768,JPY,1.93149626577389,70,JPY,Technology services
7202,Isuzu Motors Limited,2827,JPY,3.33938294010889,92,JPY,Consumer durables
3402,"Toray Industries, Inc.",1324.5,JPY,1.48553557466771,18,JPY,Process industries
9843,Nitori Holdings Co. Ltd.,3183,JPY,0.945319740500463,30.4,JPY,Retail trade
5019,"Idemitsu Kosan Co., Ltd.",1407,JPY,2.54147546770208,36,JPY,Energy minerals
9435,"Hikari Tsushin, Inc.",41100,JPY,1.74898592221427,661,JPY,Utilities
6504,"Fuji Electric Co., Ltd.",13130,JPY,1.39960238568588,160,JPY,Producer manufacturing
5706,"Mitsui Kinzoku Co., Ltd.",33040,JPY,0.607222754873762,180,JPY,Non-energy minerals
4755,"Rakuten Group, Inc.",823,JPY,0,0,JPY,Retail trade
7181,"JAPAN POST INSURANCE Co., Ltd.",5035,JPY,2.29885057471264,104,JPY,Finance
9719,SCSK Corporation,5670,JPY,1.48148148148148,71,JPY,Technology services
8421,Shinkin Central Bank Pfd Subs Cert,200700,JPY,3.26305220883534,6500,JPY,Finance
8331,"Chiba Bank, Ltd.",2277.5,JPY,1.92993496958255,40,JPY,Finance
5831,"Shizuoka Financial Group, Inc.",3079,JPY,2.37255530618788,60,JPY,Finance
5801,"Furukawa Electric Co., Ltd.",26910,JPY,0.514248982215556,120,JPY,Producer manufacturing
7733,Olympus Corp.,1441,JPY,1.35135135135135,20,JPY,Health technology
6586,Makita Corporation,6042,JPY,1.84532796510653,110,JPY,Consumer durables
1944,Kinden Corporation,8216,JPY,1.36071251855517,90,JPY,Industrial services
8303,"SBI Shinsei Bank, Limited",1819,JPY,0,0,JPY,Finance
5838,"Rakuten Bank, Ltd.",8367,JPY,0,0,JPY,Finance
7550,"Zensho Holdings Co., Ltd.",9883,JPY,0.709795173392821,70,JPY,Consumer services
9202,ANA Holdings Inc.,3331,JPY,1.81598062953995,60,JPY,Transportation
3003,"Hulic Co., Ltd.",2045.5,JPY,3.04145204807456,62,JPY,Finance
7201,"Nissan Motor Co., Ltd.",436.2,JPY,0,0,JPY,Consumer durables
5334,"Niterra Co.,Ltd.",7847,JPY,2.34826126010522,178,JPY,Producer manufacturing
7912,"Dai Nippon Printing Co., Ltd.",3156,JPY,1.29366106080207,38,JPY,Commercial services
6525,Kokusai Electric Corporation,6373,JPY,0.580756553131377,37,JPY,Producer manufacturing
2587,Suntory Beverage & Food Ltd.,4835,JPY,2.46609124537608,120,JPY,Consumer non-durables
9107,"Kawasaki Kisen Kaisha, Ltd.",2425,JPY,4.57285387653295,100,JPY,Transportation
9021,West Japan Railway Company,3306,JPY,2.82098200670936,84.5,JPY,Transportation
4188,Mitsubishi Chemical Group Corporation,1145,JPY,2.86353467561521,32,JPY,Process industries
7309,Shimano Inc.,16715,JPY,2.00829383886256,339,JPY,Consumer durables
4151,"Kyowa Kirin Co., Ltd.",2824,JPY,2.23141983084398,62,JPY,Health technology
4523,"Eisai Co., Ltd.",5077,JPY,3.12866640594447,160,JPY,Commercial services
6841,Yokogawa Electric Corp.,5754,JPY,1.1300481659874,58,JPY,Electronic technology
2801,Kikkoman Corporation,1504,JPY,1.6857720836143,25,JPY,Consumer non-durables
6305,"Hitachi Construction Machinery Co., Ltd.",6554,JPY,2.82485875706215,175,JPY,Producer manufacturing
1942,"Kandenko Co., Ltd.",6617,JPY,1.51016746411483,82,JPY,Industrial services
6506,Yaskawa Electric Corporation,5097,JPY,1.30819545979223,68,JPY,Producer manufacturing
3288,Open House Group Co. Ltd,11170,JPY,1.52920962199313,178,JPY,Consumer durables
5411,"JFE Holdings, Inc.",2228,JPY,4.00088908646366,100,JPY,Non-energy minerals
6479,MinebeaMitsumi Inc.,3319,JPY,1.51057401812689,45,JPY,Electronic technology
5201,AGC Inc.,6517,JPY,3.33651096282173,210,JPY,Consumer durables
9201,"Japan Airlines Co., Ltd.",3125,JPY,3.01342941369145,86,JPY,Transportation
9697,"Capcom Co., Ltd.",3115,JPY,1.33418043202033,40,JPY,Technology services
8136,Sanrio Co. Ltd.,5240,JPY,1.20868744098206,53,JPY,Retail trade
8354,"Fukuoka Financial Group, Inc.",6674,JPY,2.27706772440135,135,JPY,Finance
2768,Sojitz Corp.,6700,JPY,2.32781554832988,150,JPY,Non-energy minerals
9602,"Toho Co., Ltd.",7648,JPY,1.19431891542931,85,JPY,Consumer services
8951,"Nippon Building Fund, Inc.",144300,JPY,3.43203883495146,4949,JPY,Finance
5101,"Yokohama Rubber Co., Ltd.",7759,JPY,1.67877724880982,134,JPY,Consumer durables
7911,TOPPAN Holdings Inc.,4847,JPY,1.30264871906209,56,JPY,Commercial services
7701,Shimadzu Corporation,4225,JPY,1.60402202537706,66,JPY,Health technology
4528,"ONO Pharmaceutical Co., Ltd.",2628,JPY,3.05635148042025,80,JPY,Health technology
4911,"Shiseido Company,Limited",3194,JPY,1.30123617436565,40,JPY,Consumer non-durables
2875,"Toyo Suisan Kaisha, Ltd.",12025,JPY,1.66666666666667,200,JPY,Consumer non-durables
4204,"Sekisui Chemical Co., Ltd.",2993,JPY,2.74706867671692,79,JPY,Process industries
4716,Oracle Corporation Japan,8791,JPY,2.01891403676549,190,JPY,Technology services
5333,"NGK Insulators, Ltd.",4471,JPY,1.5737097894006,60,JPY,Producer manufacturing
3391,"TSURUHA Holdings, Inc.",2696,JPY,1.84864457831325,53.4,JPY,Retail trade
1878,"Daito Trust Construction Co., Ltd.",3517,JPY,4.43227665706052,142.8,JPY,Finance
9024,"Seibu Holdings, Inc.",4592,JPY,0.972132209980557,40,JPY,Consumer services
7272,"Yamaha Motor Co., Ltd.",1220,JPY,4.0551500405515,50,JPY,Consumer durables
9005,TOKYU CORPORATION,1936,JPY,1.3986013986014,24,JPY,Retail trade
4768,OTSUKA CORPORATION,2964,JPY,2.96052631578947,90,JPY,Technology services
7167,"Mebuki Financial Group, Inc.",1280,JPY,1.59090909090909,16,JPY,Finance
4186,"Tokyo Ohka Kogyo Co., Ltd.",9182,JPY,0.779473855147775,72,JPY,Process industries
8729,Sony Financial Group Inc.,156.5,JPY,0,0,JPY,Finance
9501,"Tokyo Electric Power Company Holdings, Incorporated",686.1,JPY,0,0,JPY,Utilities
3289,Tokyu Fudosan Holdings Corp.,1524,JPY,2.67052767052767,36.5,JPY,Finance
8439,Tokyo Century Corporation,2224,JPY,3.08379888268156,62,JPY,Finance
1911,"Sumitomo Forestry Co., Ltd.",1705,JPY,3.00028304557034,53,JPY,Consumer durables
9042,"Hankyu Hanshin Holdings, Inc.",4536,JPY,1.75554092604784,60,JPY,Transportation
2413,"M3, Inc.",1495,JPY,1.31414267834793,21,JPY,Technology services
3563,FOOD & LIFE COMPANIES LTD.,9450,JPY,0.375778398110372,35,JPY,Consumer services
5844,"Kyoto Financial Group,Inc.",3562,JPY,1.89291508923743,60,JPY,Finance
2269,"Meiji Holdings Co., Ltd.",3904,JPY,2.65681700362882,100,JPY,Consumer non-durables
5830,"Iyogin Holdings,Inc.",3265,JPY,1.57502863688431,45,JPY,Finance
6963,ROHM Company Limited,2736,JPY,1.88679245283019,50,JPY,Electronic technology
3099,Isetan Mitsukoshi Holdings Ltd.,2994.5,JPY,2.0103869994974,54,JPY,Retail trade
3088,MatsukiyoCocokara & Co.,2590,JPY,1.8111753371869,44,JPY,Retail trade
3064,"MonotaRO Co., Ltd.",2006,JPY,1.59036144578313,33,JPY,Distribution services
3231,"Nomura Real Estate Holdings, Inc.",1119.5,JPY,3.17531305903399,34,JPY,Finance
6645,OMRON Corporation,5290,JPY,2.01199458309151,104,JPY,Producer manufacturing
6269,"Modec, Inc.",13755,JPY,0.951733514615908,140,JPY,Producer manufacturing
5332,TOTO Ltd,6337,JPY,1.61420500403551,100,JPY,Producer manufacturing
4506,Sumitomo Pharma Co.Ltd.,2241,JPY,0,0,JPY,Health technology
9023,Tokyo Metro Co Ltd,1693.5,JPY,3.67469879518072,40,JPY,Transportation
9143,"SG Holdings Co., Ltd.",1553,JPY,3.42555994729908,52,JPY,Transportation
3861,Oji Holdings Corp.,981.5,JPY,3.08769040757513,24,JPY,Process industries
3092,"ZOZO, Inc.",1095,JPY,3.4243405830634,35.6666490000177,JPY,Retail trade
8359,"Hachijuni Nagano Bank, Ltd.",1948.5,JPY,2.34281616065025,42,JPY,Finance
2897,"Nissin Foods Holdings Co., Ltd.",3248,JPY,2.16785382471353,70,JPY,Consumer non-durables
2702,"McDonald's Holdings Company (Japan), Ltd.",7290,JPY,0.787623066104079,56,JPY,Consumer services
6370,Kurita Water Industries Ltd.,8520,JPY,1.22788010111954,92,JPY,Producer manufacturing
4005,"Sumitomo Chemical Co., Ltd.",575.7,JPY,2.11267605633803,9,JPY,Process industries
9401,TBS HOLDINGS INC.,5703,JPY,1.33006650332517,68,JPY,Consumer services
9508,"Kyushu Electric Power Company,Incorporated",1935.5,JPY,2.5706940874036,50,JPY,Utilities
9684,"Square Enix Holdings Co., Ltd.",2438,JPY,2.05515632458234,42.99996,JPY,Technology services
4183,"Mitsui Chemicals, Inc.",2326,JPY,3.24184136589583,75,JPY,Process industries
8952,Japan Real Estate Investment Corp.,127700,JPY,3.9478672985782,4998,JPY,Finance
5406,"Kobe Steel, Ltd.",2225.5,JPY,4.15391342369917,100,JPY,Non-energy minerals
8953,Japan Metropolitan Fund Investment Corporation,125400,JPY,4.51323175621492,5628,JPY,Finance
4021,Nissan Chemical Corporation,6921,JPY,2.63756252842201,174,JPY,Process industries
9147,"Nippon Express Holdings, Inc.",3846,JPY,2.72479564032698,100,JPY,Transportation
1808,Haseko Corporation,3279,JPY,2.74977085242896,85,JPY,Consumer durables
8804,"Tokyo Tatemono Co., Ltd.",4121,JPY,2.53317249698432,105,JPY,Finance
4182,"Mitsubishi Gas Chemical Company, Inc.",4519,JPY,2.27014755959137,95,JPY,Process industries
4732,"USS Co., Ltd.",1862,JPY,2.59599783666847,43.4,JPY,Retail trade
7261,Mazda Motor Corp.,1309.5,JPY,4.09836065573771,55,JPY,Consumer durables
4042,Tosoh Corporation,2672,JPY,3.78787878787879,100,JPY,Process industries
8334,"Gunma Bank, Ltd.",2121,JPY,2.49376558603491,45,JPY,Finance
5929,Sanwa Holdings Corporation,4022,JPY,3.04862685815067,106,JPY,Producer manufacturing
6869,Sysmex Corporation,1362.5,JPY,2.68957788569294,32,JPY,Health technology
3038,"Kobe Bussan Co., Ltd.",3758,JPY,0.802997858672377,30,JPY,Retail trade
7752,"Ricoh Company, Ltd.",1440.5,JPY,2.69151138716356,38,JPY,Electronic technology
3197,"Skylark Holdings Co., Ltd.",3570,JPY,0.610263522884882,22,JPY,Consumer services
9404,"Nippon Television Holdings, Inc.",3249,JPY,1.23152709359606,40,JPY,Consumer services
2267,"Yakult Honsha Co., Ltd.",2606.5,JPY,2.51645373596593,64,JPY,Consumer non-durables
7003,"Mitsui ES Holdings Co., Ltd.",7729,JPY,0.432632880098888,20,JPY,Producer manufacturing
9962,MISUMI Group Inc.,3093,JPY,1.35871348867739,43.21,JPY,Producer manufacturing
6856,"Horiba , Ltd.",19475,JPY,1.50649350649351,290,JPY,Producer manufacturing
6113,"AMADA Co., Ltd.",2506,JPY,2.46618933969769,62,JPY,Producer manufacturing
8572,"ACOM Co., Ltd.",506.3,JPY,3.34645669291339,14,JPY,Finance
9412,SKY Perfect JSAT Holdings Inc.,2846,JPY,1.25,27,JPY,Consumer services
6448,"Brother Industries, Ltd.",3144,JPY,3.22788896061976,100,JPY,Electronic technology
7747,"Asahi Intecc Co., Ltd.",3142,JPY,0.812950847173293,24.23,JPY,Health technology
5021,"Cosmo Energy Holdings Co., Ltd.",4740,JPY,3.44252034216566,165,JPY,Energy minerals
8227,"SHIMAMURA Co., Ltd.",3531,JPY,1.93195561210065,66.6666,JPY,Retail trade
3462,"Nomura Real Estate Master Fund, Inc.",170400,JPY,4.15380047505938,6995,JPY,Finance
3110,"Nitto Boseki Co., Ltd.",26200,JPY,0.5,106,JPY,Process industries
7276,"Koito Manufacturing Co., Ltd.",2759,JPY,2.05504587155963,56,JPY,Producer manufacturing
6465,HOSHIZAKI Corp.,5637,JPY,2.17391304347826,115,JPY,Producer manufacturing
6368,Organo Corp.,16885,JPY,1.10709987966306,160,JPY,Producer manufacturing
3283,"Nippon Prologis REIT, Inc.",91600,JPY,4.27168696899225,3857.333333,JPY,Finance
8377,"Hokuhoku Financial Group, Inc.",5950,JPY,1.16353715294495,50,JPY,Finance
5444,"Yamato Kogyo Co., Ltd.",12845,JPY,3.13602508820071,400,JPY,Non-energy minerals
8060,Canon Marketing Japan Incorporated,6869,JPY,2.48066540201372,170,JPY,Distribution services
4676,"Fuji Media Holdings, Inc.",3415,JPY,1.4819205690575,50,JPY,Consumer services
4704,Trend Micro Incorporated,4906,JPY,2.81293952180028,160,JPY,Technology services
3291,"Iida Group Holdings Co., Ltd.",2718,JPY,3.68391969055075,90,JPY,Consumer durables
5631,"Japan Steel Works, Ltd.",9563,JPY,0.918163672654691,86,JPY,Producer manufacturing
4324,Dentsu Group Inc.,2765.5,JPY,0,0,JPY,Commercial services
5105,Toyo Tire Corporation,4713,JPY,2.7455121436114,130,JPY,Consumer durables
8341,"77 Bank, Ltd.",9475,JPY,2.14183964183964,175,JPY,Finance
8253,"Credit Saison Co., Ltd.",4635,JPY,2.58453586043506,120,JPY,Finance
3626,TIS Inc.,2924,JPY,2.38018655516243,70,JPY,Technology services
6845,Azbil Corporation,1368,JPY,1.93021529324425,24,JPY,Electronic technology
5110,"Sumitomo Rubber Industries, Ltd.",2750,JPY,2.83609576427256,77,JPY,Consumer durables
6302,"Sumitomo Heavy Industries, Ltd.",5815,JPY,2.1724018074383,125,JPY,Producer manufacturing
6806,"HIROSE ELECTRIC CO., LTD.",22405,JPY,2.28971962616822,490,JPY,Electronic technology
4403,NOF Corporation,3027,JPY,1.68350168350168,45,JPY,Process industries
8233,"Takashimaya Company, Limited",2209.5,JPY,1.30605137135394,24.5,JPY,Retail trade
1959,KRAFTIA CORPORATION,10130,JPY,1.67257982767359,140,JPY,Industrial services
6532,"BayCurrent, Inc",3861,JPY,1.94196428571429,62,JPY,Commercial services
7729,"Tokyo Seimitsu Co., Ltd",17035,JPY,1.47972773009766,253,JPY,Producer manufacturing
1969,"Takasago Thermal Engineering Co., Ltd.",5020,JPY,1.88225871045254,83.5,JPY,Producer manufacturing
4626,"Taiyo Holdings Co., Ltd.",6096,JPY,2.62938230383973,95,JPY,Producer manufacturing
2212,"Yamazaki Baking Co., Ltd.",3514,JPY,1.77304964539007,60,JPY,Consumer non-durables
5711,Mitsubishi Materials Corp.,5437,JPY,1.90949016612564,100,JPY,Producer manufacturing
8972,KDX Realty Investment Corporation,171000,JPY,4.81678486997636,8150,JPY,Finance
3086,"J. FRONT RETAILING Co., Ltd.",2622.5,JPY,2.18474511307014,52,JPY,Retail trade
3281,GLP J-REIT,143900,JPY,4.97679324894515,7077,JPY,Finance
2501,Sapporo Holdings Limited,1732.5,JPY,1.03776304410493,18,JPY,Consumer non-durables
5344,"MARUWA CO., LTD.",59450,JPY,0.177923021060276,94,JPY,Producer manufacturing
2282,NH Foods Limited,7057,JPY,1.95482189400521,135,JPY,Consumer non-durables
2579,Coca-Cola Bottlers Japan Holdings Inc.,4097,JPY,1.47311563957771,60,JPY,Consumer non-durables
9009,"Keisei Electric Railway Co., Ltd.",1325.5,JPY,1.427498121713,15.999994,JPY,Transportation
2327,NS Solutions Corp,3760,JPY,2.11748633879781,74,JPY,Technology services
6724,Seiko Epson Corp.,2099,JPY,3.56884494815529,74,JPY,Electronic technology
4751,CyberAgent Incorporated,1299.5,JPY,1.2987012987013,17,JPY,Technology services
7649,"Sugi Holdings Co., Ltd.",3517,JPY,1.00200400801603,35,JPY,Retail trade
9513,"Electric Power Development Co., Ltd.",3652,JPY,2.79955207166853,100,JPY,Utilities
6473,JTEKT Corporation,2053,JPY,2.68817204301075,50,JPY,Producer manufacturing
9506,"Tohoku Electric Power Company, Incorporated",1294,JPY,3.07455803228286,35,JPY,Utilities
6471,NSK Ltd.,1346.5,JPY,2.57088846880907,34,JPY,Producer manufacturing
